date,season,weekday,weathersit,temperature,windspeed,totalRental,casual,registered,month,holiday
2012-01-24,springer,Tue,Clear,17.4554,0.123767,4339,439,3900,Jan,0
2012-01-25,springer,Wed,Clear,14.74105,0.161071,4270,467,3803,Jan,0
2012-01-26,springer,Thu,Mist,17.8025,0.0733958,4075,244,3831,Jan,0
2012-01-27,springer,Fri,Mist,20.76915,0.342667,3456,269,3187,Jan,0
2012-01-28,springer,Sat,Clear,16.31895,0.210829,4023,775,3248,Jan,0
2012-01-29,springer,Sun,Clear,13.63605,0.24005,3243,558,2685,Jan,0
2012-01-30,springer,Mon,Clear,13.13125,0.215792,3624,126,3498,Jan,0
2012-01-31,springer,Tue,Clear,19.06585,0.261817,4509,324,4185,Jan,0
2012-02-01,springer,Wed,Clear,23.3269,0.189067,4579,304,4275,Feb,0
2012-02-02,springer,Thu,Mist,19.94855,0.187187,3761,190,3571,Feb,0
2012-02-03,springer,Fri,Clear,15.4673,0.178496,4151,310,3841,Feb,0
2012-02-04,springer,Sat,Mist,13.63625,0.121896,2832,384,2448,Feb,0
2012-02-05,springer,Sun,Mist,13.22605,0.175996,2947,318,2629,Feb,0
2012-02-06,springer,Mon,Clear,14.8213,0.1538,3784,206,3578,Feb,0
2012-02-07,springer,Tue,Clear,18.0552,0.147379,4375,199,4176,Feb,0
2012-02-08,springer,Wed,Mist,13.32105,0.133721,2802,109,2693,Feb,0
2012-02-09,springer,Thu,Clear,13.0994,0.194037,3830,163,3667,Feb,0
2012-02-10,springer,Fri,Mist,14.6779,0.116929,3831,227,3604,Feb,0
2012-02-11,springer,Sat,Rain,10.54335,0.289796,2169,192,1977,Feb,0
2012-02-12,springer,Sun,Clear,5.0829,0.409212,1529,73,1456,Feb,0
2012-02-13,springer,Mon,Clear,11.39565,0.167283,3422,94,3328,Feb,0
2012-02-14,springer,Tue,Mist,16.6973,0.141179,3922,135,3787,Feb,0
2012-02-15,springer,Wed,Clear,17.58145,0.1816,4169,141,4028,Feb,0
2012-02-16,springer,Thu,Mist,16.5081,0.091425,3005,74,2931,Feb,0
2012-02-17,springer,Fri,Clear,17.58145,0.205846,4154,349,3805,Feb,0
2012-02-18,springer,Sat,Clear,17.77125,0.190929,4318,1435,2883,Feb,0
2012-02-19,springer,Sun,Mist,13.2894,0.253112,2689,618,2071,Feb,0
2012-02-20,springer,Mon,Clear,13.66955,0.229083,3129,502,2627,Feb,1
2012-02-21,springer,Tue,Clear,14.75565,0.205717,3777,163,3614,Feb,0
2012-02-22,springer,Wed,Clear,19.63335,0.234471,4773,394,4379,Feb,0
2012-02-23,springer,Thu,Clear,22.2223,0.190913,5062,516,4546,Feb,0
2012-02-24,springer,Fri,Mist,20.54855,0.237567,3487,246,3241,Feb,0
2012-02-25,springer,Sat,Clear,12.78375,0.421642,2732,317,2415,Feb,0
2012-02-26,springer,Sun,Clear,13.4154,0.205229,3389,515,2874,Feb,0
2012-02-27,springer,Mon,Clear,17.8977,0.268033,4322,253,4069,Feb,0
2012-02-28,springer,Tue,Clear,17.67625,0.193417,4363,229,4134,Feb,0
2012-02-29,springer,Wed,Mist,17.4235,0.179117,1834,65,1769,Feb,0
2012-03-01,springer,Thu,Clear,23.76855,0.226987,4990,325,4665,Mar,0
2012-03-02,springer,Fri,Mist,17.9921,0.144904,3194,246,2948,Mar,0
2012-03-03,springer,Sat,Mist,20.6746,0.161079,4066,956,3110,Mar,0
2012-03-04,springer,Sun,Clear,15.15105,0.334571,3423,710,2713,Mar,0
2012-03-05,springer,Mon,Clear,12.05855,0.228858,3333,203,3130,Mar,0
2012-03-06,springer,Tue,Clear,12.7521,0.200875,3956,221,3735,Mar,0
2012-03-07,springer,Wed,Clear,19.255,0.345779,4916,432,4484,Mar,0
2012-03-08,springer,Thu,Clear,26.2302,0.441563,5382,486,4896,Mar,0
2012-03-09,springer,Fri,Mist,19.85415,0.4148,4569,447,4122,Mar,0
2012-03-10,springer,Sat,Clear,13.88835,0.22575,4118,968,3150,Mar,0
2012-03-11,springer,Sun,Clear,17.9835,0.222587,4911,1658,3253,Mar,0
2012-03-12,springer,Mon,Clear,22.9796,0.207713,5298,838,4460,Mar,0
2012-03-13,springer,Tue,Clear,27.14645,0.23695,5847,762,5085,Mar,0
2012-03-14,springer,Wed,Clear,27.43085,0.115062,6312,997,5315,Mar,0
2012-03-15,springer,Thu,Clear,26.64125,0.149883,6192,1005,5187,Mar,0
2012-03-16,springer,Fri,Mist,21.81145,0.113192,4378,548,3830,Mar,0
2012-03-17,springer,Sat,Mist,25.2523,0.110704,7836,3155,4681,Mar,0
2012-03-18,springer,Sun,Mist,23.2,0.126883,5892,2207,3685,Mar,0
2012-03-19,springer,Mon,Clear,26.64105,0.162317,6153,982,5171,Mar,0
2012-03-20,springer,Tue,Clear,26.92665,0.121271,6093,1051,5042,Mar,0
2012-03-21,summer,Wed,Mist,25.6629,0.0895583,6230,1122,5108,Mar,0
2012-03-22,summer,Thu,Clear,26.57835,0.117562,6871,1334,5537,Mar,0
2012-03-23,summer,Fri,Mist,28.50335,0.1163,8362,2469,5893,Mar,0
2012-03-24,summer,Sat,Mist,24.33665,0.192783,3372,1033,2339,Mar,0
2012-03-25,summer,Sun,Mist,21.8744,0.220775,4996,1532,3464,Mar,0
2012-03-26,summer,Mon,Clear,21.9375,0.386821,5558,795,4763,Mar,0
2012-03-27,summer,Tue,Clear,15.7827,0.187192,5102,531,4571,Mar,0
2012-03-28,summer,Wed,Clear,23.5475,0.291671,5698,674,5024,Mar,0
2012-03-29,summer,Thu,Clear,24.1152,0.31965,6133,834,5299,Mar,0
2012-03-30,summer,Fri,Mist,18.78105,0.138067,5459,796,4663,Mar,0
2012-03-31,summer,Sat,Mist,21.0854,0.250617,6235,2301,3934,Mar,0
2012-04-01,summer,Sun,Mist,20.86435,0.172267,6041,2347,3694,Apr,0
2012-04-02,summer,Mon,Clear,21.37565,0.312139,5936,1208,4728,Apr,0
2012-04-03,summer,Tue,Clear,23.07415,0.100133,6772,1348,5424,Apr,0
2012-04-04,summer,Wed,Clear,26.6725,0.180975,6436,1058,5378,Apr,0
2012-04-05,summer,Thu,Clear,21.55815,0.219529,6457,1192,5265,Apr,0
2012-04-06,summer,Fri,Clear,19.53835,0.300388,6460,1807,4653,Apr,0
2012-04-07,summer,Sat,Clear,21.30645,0.274871,6857,3252,3605,Apr,0
2012-04-08,summer,Sun,Clear,24.62125,0.232596,5169,2230,2939,Apr,0
2012-04-09,summer,Mon,Clear,23.8319,0.358196,5585,905,4680,Apr,0
2012-04-10,summer,Tue,Clear,21.81165,0.249375,5918,819,5099,Apr,0
2012-04-11,summer,Wed,Clear,16.8637,0.295274,4862,482,4380,Apr,0
2012-04-12,summer,Thu,Clear,19.3802,0.290429,5409,663,4746,Apr,0
2012-04-13,summer,Fri,Clear,21.5904,0.155471,6398,1252,5146,Apr,0
2012-04-14,summer,Sat,Clear,24.3998,0.190917,7460,2795,4665,Apr,0
2012-04-15,summer,Sun,Clear,28.69375,0.225129,7132,2846,4286,Apr,0
2012-04-16,summer,Mon,Clear,30.74625,0.284829,6370,1198,5172,Apr,1
2012-04-17,summer,Tue,Clear,29.92435,0.273629,6691,989,5702,Apr,0
2012-04-18,summer,Wed,Mist,22.8519,0.167912,4367,347,4020,Apr,0
2012-04-19,summer,Thu,Clear,24.6523,0.0659292,6565,846,5719,Apr,0
2012-04-20,summer,Fri,Clear,25.78875,0.149871,7290,1340,5950,Apr,0
2012-04-21,summer,Sat,Clear,27.14605,0.283587,6624,2541,4083,Apr,0
2012-04-22,summer,Sun,Rain,19.4752,0.344546,1027,120,907,Apr,0
2012-04-23,summer,Mon,Mist,15.05625,0.303496,3214,195,3019,Apr,0
2012-04-24,summer,Tue,Clear,20.26415,0.249383,5633,518,5115,Apr,0
2012-04-25,summer,Wed,Clear,23.51585,0.118792,6196,655,5541,Apr,0
2012-04-26,summer,Thu,Mist,24.17915,0.176625,5026,475,4551,Apr,0
2012-04-27,summer,Fri,Clear,22.63185,0.347633,6233,1014,5219,Apr,0
2012-04-28,summer,Sat,Mist,18.8752,0.129975,4220,1120,3100,Apr,0
2012-04-29,summer,Sun,Clear,22.50605,0.116908,6304,2229,4075,Apr,0
2012-04-30,summer,Mon,Mist,22.8848,0.171638,5572,665,4907,Apr,0
2012-05-01,summer,Tue,Mist,28.85105,0.156096,5740,653,5087,May,0
2012-05-02,summer,Wed,Clear,26.8948,0.138058,6169,667,5502,May,0
2012-05-03,summer,Thu,Mist,26.8621,0.133696,6421,764,5657,May,0
2012-05-04,summer,Fri,Clear,29.54585,0.162938,6296,1069,5227,May,0
2012-05-05,summer,Sat,Mist,29.2304,0.152992,6883,2496,4387,May,0
2012-05-06,summer,Sun,Mist,27.33685,0.149879,6359,2135,4224,May,0
2012-05-07,summer,Mon,Mist,26.3571,0.230721,6273,1008,5265,May,0
2012-05-08,summer,Tue,Mist,27.87355,0.296029,5728,738,4990,May,0
2012-05-09,summer,Wed,Mist,27.65125,0.216412,4717,620,4097,May,0
2012-05-10,summer,Thu,Clear,24.58915,0.314063,6572,1026,5546,May,0
2012-05-11,summer,Fri,Clear,26.04165,0.236937,7030,1319,5711,May,0
2012-05-12,summer,Sat,Clear,27.24085,0.123133,7429,2622,4807,May,0
2012-05-13,summer,Sun,Clear,29.2619,0.225117,6118,2172,3946,May,0
2012-05-14,summer,Mon,Mist,27.495,0.212692,2843,342,2501,May,0
2012-05-15,summer,Tue,Mist,28.8202,0.147392,5115,625,4490,May,0
2012-05-16,summer,Wed,Clear,29.79875,0.122512,7424,991,6433,May,0
2012-05-17,summer,Thu,Clear,28.63065,0.229475,7384,1242,6142,May,0
2012-05-18,summer,Fri,Clear,27.55605,0.136817,7639,1521,6118,May,0
2012-05-19,summer,Sat,Clear,28.3454,0.083975,8294,3410,4884,May,0
2012-05-20,summer,Sun,Clear,29.19835,0.254367,7129,2704,4425,May,0
2012-05-21,summer,Mon,Mist,28.28335,0.233204,4359,630,3729,May,0
2012-05-22,summer,Tue,Mist,29.04125,0.118167,6073,819,5254,May,0
2012-05-23,summer,Wed,Mist,29.2306,0.102,5260,766,4494,May,0
2012-05-24,summer,Thu,Clear,30.335,0.172896,6770,1059,5711,May,0
2012-05-25,summer,Fri,Clear,31.37645,0.14055,6734,1417,5317,May,0
2012-05-26,summer,Sat,Clear,32.1348,0.198992,6536,2855,3681,May,0
2012-05-27,summer,Sun,Clear,32.07125,0.215171,6591,3283,3308,May,0
2012-05-28,summer,Mon,Clear,33.965,0.196521,6043,2557,3486,May,1
2012-05-29,summer,Tue,Clear,33.6496,0.2954,5743,880,4863,May,0
2012-05-30,summer,Wed,Mist,30.55645,0.134329,6855,745,6110,May,0
2012-05-31,summer,Thu,Clear,31.56645,0.195279,7338,1100,6238,May,0
2012-06-01,summer,Fri,Mist,30.3981,0.237563,4127,533,3594,Jun,0
2012-06-02,summer,Sat,Clear,28.3144,0.186562,8120,2795,5325,Jun,0
2012-06-03,summer,Sun,Clear,28.75665,0.184087,7641,2494,5147,Jun,0
2012-06-04,summer,Mon,Clear,28.91415,0.284833,6998,1071,5927,Jun,0
2012-06-05,summer,Tue,Mist,26.2946,0.209575,7001,968,6033,Jun,0
2012-06-06,summer,Wed,Clear,27.1146,0.077125,7055,1027,6028,Jun,0
2012-06-07,summer,Thu,Clear,28.4721,0.15735,7494,1038,6456,Jun,0
2012-06-08,summer,Fri,Clear,29.8931,0.175383,7736,1488,6248,Jun,0
2012-06-09,summer,Sat,Clear,32.41835,0.144287,7498,2708,4790,Jun,0
2012-06-10,summer,Sun,Clear,33.17585,0.133721,6598,2224,4374,Jun,0
2012-06-11,summer,Mon,Mist,32.98605,0.207713,6664,1017,5647,Jun,0
2012-06-12,summer,Tue,Mist,29.89375,0.214546,4972,477,4495,Jun,0
2012-06-13,summer,Wed,Clear,30.55585,0.343279,7421,1173,6248,Jun,0
2012-06-14,summer,Thu,Clear,31.21915,0.253733,7363,1180,6183,Jun,0
2012-06-15,summer,Fri,Clear,29.9877,0.176617,7665,1563,6102,Jun,0
2012-06-16,summer,Sat,Clear,29.7354,0.166667,7702,2963,4739,Jun,0
2012-06-17,summer,Sun,Clear,28.59875,0.144904,6978,2634,4344,Jun,0
2012-06-18,summer,Mon,Mist,27.2421,0.174746,5099,653,4446,Jun,0
2012-06-19,summer,Tue,Clear,32.7346,0.148017,6825,968,5857,Jun,0
2012-06-20,summer,Wed,Clear,36.04875,0.113812,6211,872,5339,Jun,0
2012-06-21,fall,Thu,Clear,37.6271,0.118787,5905,778,5127,Jun,0
2012-06-22,fall,Fri,Clear,36.20605,0.182842,5823,964,4859,Jun,0
2012-06-23,fall,Sat,Clear,32.6396,0.179721,7458,2657,4801,Jun,0
2012-06-24,fall,Sun,Clear,33.7127,0.145525,6891,2551,4340,Jun,0
2012-06-25,fall,Mon,Clear,32.7021,0.300383,6779,1139,5640,Jun,0
2012-06-26,fall,Tue,Clear,29.7352,0.347642,7442,1077,6365,Jun,0
2012-06-27,fall,Wed,Clear,32.0396,0.271775,7335,1077,6258,Jun,0
2012-06-28,fall,Thu,Clear,33.7756,0.17165,6879,921,5958,Jun,0
2012-06-29,fall,Fri,Clear,39.33065,0.165417,5463,829,4634,Jun,0
2012-06-30,fall,Sat,Clear,34.3754,0.161071,5687,1455,4232,Jun,0
2012-07-01,fall,Sun,Clear,37.53145,0.168529,5531,1421,4110,Jul,0
2012-07-02,fall,Mon,Clear,35.1019,0.195267,6227,904,5323,Jul,0
2012-07-03,fall,Tue,Clear,35.1325,0.126237,6660,1052,5608,Jul,0
2012-07-04,fall,Wed,Clear,36.61685,0.13495,7403,2562,4841,Jul,1
2012-07-05,fall,Thu,Clear,38.06835,0.194029,6241,1405,4836,Jul,0
2012-07-06,fall,Fri,Clear,37.62665,0.146142,6207,1366,4841,Jul,0
2012-07-07,fall,Sat,Clear,40.24565,0.163554,4840,1448,3392,Jul,0
2012-07-08,fall,Sun,Clear,39.5198,0.125629,4672,1203,3469,Jul,0
2012-07-09,fall,Mon,Mist,32.7027,0.180975,6569,998,5571,Jul,0
2012-07-10,fall,Tue,Mist,33.2398,0.151737,6290,954,5336,Jul,0
2012-07-11,fall,Wed,Clear,32.51355,0.151733,7264,975,6289,Jul,0
2012-07-12,fall,Thu,Clear,32.73415,0.146775,7446,1032,6414,Jul,0
2012-07-13,fall,Fri,Mist,33.39665,0.08085,7499,1511,5988,Jul,0
2012-07-14,fall,Sat,Mist,33.3021,0.143679,6969,2355,4614,Jul,0
2012-07-15,fall,Sun,Clear,35.2598,0.166667,6031,1920,4111,Jul,0
2012-07-16,fall,Mon,Clear,36.20625,0.164187,6830,1088,5742,Jul,0
2012-07-17,fall,Tue,Clear,37.78415,0.114429,6786,921,5865,Jul,0
2012-07-18,fall,Wed,Clear,37.27915,0.137442,5713,799,4914,Jul,0
2012-07-19,fall,Thu,Clear,35.7321,0.165429,6591,888,5703,Jul,0
2012-07-20,fall,Fri,Mist,30.65125,0.208967,5870,747,5123,Jul,0
2012-07-21,fall,Sat,Rain,27.4956,0.2133,4459,1264,3195,Jul,0
2012-07-22,fall,Sun,Mist,31.15625,0.0939208,7410,2544,4866,Jul,0
2012-07-23,fall,Mon,Clear,34.50085,0.138683,6966,1135,5831,Jul,0
2012-07-24,fall,Tue,Clear,35.3225,0.211454,7592,1140,6452,Jul,0
2012-07-25,fall,Wed,Clear,32.7027,0.1648,8173,1383,6790,Jul,0
2012-07-26,fall,Thu,Clear,36.96315,0.284813,6861,1036,5825,Jul,0
2012-07-27,fall,Fri,Clear,36.71085,0.152992,6904,1259,5645,Jul,0
2012-07-28,fall,Sat,Clear,34.8802,0.15735,6685,2234,4451,Jul,0
2012-07-29,fall,Sun,Clear,33.39665,0.170396,6597,2153,4444,Jul,0
2012-07-30,fall,Mon,Clear,34.24935,0.153617,7105,1040,6065,Jul,0
2012-07-31,fall,Tue,Clear,33.1448,0.165425,7216,968,6248,Jul,0
2012-08-01,fall,Wed,Clear,33.3654,0.141179,7580,1074,6506,Ago,0
2012-08-02,fall,Thu,Clear,35.3544,0.129354,7261,983,6278,Ago,0
2012-08-03,fall,Fri,Mist,36.14335,0.215792,7175,1328,5847,Ago,0
2012-08-04,fall,Sat,Clear,37.56335,0.257458,6824,2345,4479,Ago,0
2012-08-05,fall,Sun,Clear,36.55395,0.290421,5464,1707,3757,Ago,0
2012-08-06,fall,Mon,Mist,35.5123,0.129354,7013,1233,5780,Ago,0
2012-08-07,fall,Tue,Mist,34.88105,0.116908,7273,1278,5995,Ago,0
2012-08-08,fall,Wed,Mist,35.38585,0.1107,7534,1263,6271,Ago,0
2012-08-09,fall,Thu,Clear,34.9754,0.1561,7286,1196,6090,Ago,0
2012-08-10,fall,Fri,Mist,33.3971,0.238813,5786,1065,4721,Ago,0
2012-08-11,fall,Sat,Mist,31.91335,0.206479,6299,2247,4052,Ago,0
2012-08-12,fall,Sun,Clear,32.22895,0.122512,6544,2182,4362,Ago,0
2012-08-13,fall,Mon,Clear,33.1127,0.136212,6883,1207,5676,Ago,0
2012-08-14,fall,Tue,Clear,33.83895,0.169158,6784,1128,5656,Ago,0
2012-08-15,fall,Wed,Clear,32.70185,0.169771,7347,1198,6149,Ago,0
2012-08-16,fall,Thu,Clear,32.7344,0.141796,7605,1338,6267,Ago,0
2012-08-17,fall,Fri,Clear,12.12,0.231354,7148,1483,5665,Ago,0
2012-08-18,fall,Sat,Clear,30.90355,0.177867,7865,2827,5038,Ago,0
2012-08-19,fall,Sun,Mist,30.1777,0.08645,4549,1208,3341,Ago,0
2012-08-20,fall,Mon,Mist,29.79835,0.129979,6530,1026,5504,Ago,0
2012-08-21,fall,Tue,Clear,30.05125,0.0727708,7006,1081,5925,Ago,0
2012-08-22,fall,Wed,Clear,31.0927,0.0702833,7375,1094,6281,Ago,0
2012-08-23,fall,Thu,Clear,31.8504,0.0845958,7765,1363,6402,Ago,0
2012-08-24,fall,Fri,Mist,32.355,0.0721458,7582,1325,6257,Ago,0
2012-08-25,fall,Sat,Mist,30.9348,0.244408,6053,1829,4224,Ago,0
2012-08-26,fall,Sun,Mist,29.7998,0.228858,5255,1483,3772,Ago,0
2012-08-27,fall,Mon,Clear,32.7344,0.128733,6917,989,5928,Ago,0
2012-08-28,fall,Tue,Clear,33.3025,0.190925,7040,935,6105,Ago,0
2012-08-29,fall,Wed,Clear,31.78665,0.112562,7697,1177,6520,Ago,0
2012-08-30,fall,Thu,Clear,32.63895,0.0771167,7713,1172,6541,Ago,0
2012-08-31,fall,Fri,Clear,34.47,0.168533,7350,1433,5917,Ago,0
2012-09-01,fall,Sat,Mist,35.1327,0.113187,6140,2352,3788,Sep,0
2012-09-02,fall,Sun,Mist,32.45,0.0640708,5810,2613,3197,Sep,0
2012-09-03,fall,Mon,Clear,33.08145,0.151121,6034,1965,4069,Sep,1
2012-09-04,fall,Tue,Clear,34.3444,0.236321,6864,867,5997,Sep,0
2012-09-05,fall,Wed,Clear,35.44915,0.187808,7112,832,6280,Sep,0
2012-09-06,fall,Thu,Mist,32.76645,0.142421,6203,611,5592,Sep,0
2012-09-07,fall,Fri,Clear,32.8602,0.171646,7504,1045,6459,Sep,0
2012-09-08,fall,Sat,Mist,30.55605,0.281104,5976,1557,4419,Sep,0
2012-09-09,fall,Sun,Clear,28.94625,0.224496,8227,2570,5657,Sep,0
2012-09-10,fall,Mon,Clear,28.2827,0.258713,7525,1118,6407,Sep,0
2012-09-11,fall,Tue,Clear,27.7146,0.0920542,7767,1070,6697,Sep,0
2012-09-12,fall,Wed,Clear,28.50375,0.131846,7870,1050,6820,Sep,0
2012-09-13,fall,Thu,Clear,28.9779,0.0827208,7804,1054,6750,Sep,0
2012-09-14,fall,Fri,Clear,29.70415,0.103863,8009,1379,6630,Sep,0
2012-09-15,fall,Sat,Clear,29.29335,0.247521,8714,3160,5554,Sep,0
2012-09-16,fall,Sun,Clear,28.15625,0.0901833,7333,2166,5167,Sep,0
2012-09-17,fall,Mon,Mist,27.6525,0.151742,6869,1022,5847,Sep,0
2012-09-18,fall,Tue,Mist,28.25335,0.357587,4073,371,3702,Sep,0
2012-09-19,fall,Wed,Clear,27.0202,0.215175,7591,788,6803,Sep,0
2012-09-20,fall,Thu,Clear,26.6096,0.118167,7720,939,6781,Sep,0
2012-09-21,fall,Fri,Clear,28.59855,0.154229,8167,1250,6917,Sep,0
2012-09-22,fall,Sat,Clear,30.5244,0.283583,8395,2512,5883,Sep,0
2012-09-23,winter,Sun,Clear,25.94665,0.223258,7907,2454,5453,Sep,0
2012-09-24,winter,Mon,Clear,25.12565,0.142404,7436,1001,6435,Sep,0
2012-09-25,winter,Tue,Clear,27.20895,0.236321,7538,845,6693,Sep,0
2012-09-26,winter,Wed,Clear,29.83065,0.2444,7733,787,6946,Sep,0
2012-09-27,winter,Thu,Mist,30.39875,0.134342,7393,751,6642,Sep,0
2012-09-28,winter,Fri,Mist,29.29315,0.164179,7415,1045,6370,Sep,0
2012-09-29,winter,Sat,Clear,26.5148,0.227604,8555,2589,5966,Sep,0
2012-09-30,winter,Sun,Clear,25.88315,0.134958,6889,2015,4874,Sep,0
2012-10-01,winter,Mon,Mist,25.6,0.0908042,6778,763,6015,Oct,0
2012-10-02,winter,Tue,Rain,27.11665,0.104475,4639,315,4324,Oct,0
2012-10-03,winter,Wed,Mist,29.95665,0.0665458,7572,728,6844,Oct,0
2012-10-04,winter,Thu,Mist,30.39875,0.117546,7328,891,6437,Oct,0
2012-10-05,winter,Fri,Clear,29.00935,0.10635,8156,1516,6640,Oct,0
2012-10-06,winter,Sat,Clear,26.92605,0.268025,7965,3031,4934,Oct,0
2012-10-07,winter,Sun,Mist,20.99065,0.141162,3510,781,2729,Oct,0
2012-10-08,winter,Mon,Mist,19.3804,0.189679,5478,874,4604,Oct,1
2012-10-09,winter,Tue,Mist,21.9056,0.1903,6392,601,5791,Oct,0
2012-10-10,winter,Wed,Clear,25.1571,0.187821,7691,780,6911,Oct,0
2012-10-11,winter,Thu,Clear,21.55835,0.181596,7570,834,6736,Oct,0
2012-10-12,winter,Fri,Clear,21.65355,0.235092,7282,1060,6222,Oct,0
2012-10-13,winter,Sat,Clear,19.5698,0.146142,7109,2252,4857,Oct,0
2012-10-14,winter,Sun,Clear,25.4102,0.278612,6639,2080,4559,Oct,0
2012-10-15,winter,Mon,Mist,26.9575,0.296037,5875,760,5115,Oct,0
2012-10-16,winter,Tue,Clear,23.0423,0.182221,7534,922,6612,Oct,0
2012-10-17,winter,Wed,Clear,22.5054,0.101371,7461,979,6482,Oct,0
2012-10-18,winter,Thu,Mist,25.63125,0.236937,7509,1008,6501,Oct,0
2012-10-19,winter,Fri,Mist,26.8948,0.134954,5424,753,4671,Oct,0
2012-10-20,winter,Sat,Clear,23.6421,0.117537,8090,2806,5284,Oct,0
2012-10-21,winter,Sun,Clear,22.82145,0.166054,6824,2132,4692,Oct,0
2012-10-22,winter,Mon,Clear,24.1471,0.0814833,7058,830,6228,Oct,0
2012-10-23,winter,Tue,Clear,26.5152,0.0945458,7466,841,6625,Oct,0
2012-10-24,winter,Wed,Clear,27.93605,0.0727792,7693,795,6898,Oct,0
2012-10-25,winter,Thu,Mist,26.4844,0.124375,7359,875,6484,Oct,0
2012-10-26,winter,Fri,Mist,26.1375,0.132467,7444,1182,6262,Oct,0
2012-10-27,winter,Sat,Mist,25.75665,0.235692,7852,2643,5209,Oct,0
2012-10-28,winter,Sun,Mist,23.38855,0.398008,4459,998,3461,Oct,0
2012-10-29,winter,Mon,Rain,21.97,0.3582,22,2,20,Oct,0
2012-10-30,winter,Tue,Mist,15.49545,0.213009,1096,87,1009,Oct,0
2012-10-31,winter,Wed,Mist,18.055,0.166667,5566,419,5147,Oct,0
2012-11-01,winter,Thu,Mist,18.4971,0.157346,5986,466,5520,Nov,0
2012-11-02,winter,Fri,Clear,17.8021,0.266175,5847,618,5229,Nov,0
2012-11-03,winter,Sat,Mist,16.1923,0.270529,5138,1029,4109,Nov,0
2012-11-04,winter,Sun,Clear,16.4769,0.179108,5107,1201,3906,Nov,0
2012-11-05,winter,Mon,Clear,15.40375,0.236325,5259,378,4881,Nov,0
2012-11-06,winter,Tue,Clear,14.07835,0.173513,5686,466,5220,Nov,0
2012-11-07,winter,Wed,Mist,13.73105,0.304108,5035,326,4709,Nov,0
2012-11-08,winter,Thu,Clear,17.09455,0.347835,5315,340,4975,Nov,0
2012-11-09,winter,Fri,Clear,17.77065,0.214558,5992,709,5283,Nov,0
2012-11-10,winter,Sat,Clear,19.69685,0.0578458,6536,2090,4446,Nov,0
2012-11-11,winter,Sun,Clear,21.08565,0.1275,6852,2290,4562,Nov,0
2012-11-12,winter,Mon,Clear,23.76915,0.173517,6269,1097,5172,Nov,1
2012-11-13,winter,Tue,Mist,16.16125,0.342046,4094,327,3767,Nov,0
2012-11-14,winter,Wed,Clear,14.07815,0.199625,5495,373,5122,Nov,0
2012-11-15,winter,Thu,Mist,16.2246,0.152987,5445,320,5125,Nov,0
2012-11-16,winter,Fri,Clear,17.3602,0.171025,5698,484,5214,Nov,0
2012-11-17,winter,Sat,Clear,16.31915,0.179729,5629,1313,4316,Nov,0
2012-11-18,winter,Sun,Clear,16.8873,0.227612,4669,922,3747,Nov,0
2012-11-19,winter,Mon,Mist,18.78105,0.235067,5499,449,5050,Nov,0
2012-11-20,winter,Tue,Mist,19.03335,0.082725,5634,534,5100,Nov,0
2012-11-21,winter,Wed,Clear,18.2446,0.103246,5146,615,4531,Nov,0
2012-11-22,winter,Thu,Clear,17.51855,0.0528708,2425,955,1470,Nov,1
2012-11-23,winter,Fri,Clear,18.93895,0.148021,3910,1603,2307,Nov,0
2012-11-24,winter,Sat,Clear,12.4371,0.376871,2277,532,1745,Nov,0
